match_id,team1,team2,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,umpire,reserve_umpire,tv_umpire,match_referee,result,winner_by_runs,winner_by_wicket
1233979,New Zealand,Bangladesh,male,2020/21,44283,Bangladesh tour of New Zealand,1,Seddon Park,Hamilton,New Zealand,bat,DP Conway,CB Gaffaney,SB Haig,CM Brown,WR Knights,JJ Crowe,New Zealand,66,0
1233980,New Zealand,Bangladesh,male,2020/21,44285,Bangladesh tour of New Zealand,2,McLean Park,Napier,Bangladesh,field,GD Phillips,CM Brown,WR Knights,SB Haig,CB Gaffaney,JJ Crowe,New Zealand,28,0
1233981,New Zealand,Bangladesh,male,2020/21,44287,Bangladesh tour of New Zealand,3,Eden Park,Auckland,Bangladesh,field,FH Allen,CM Brown,CB Gaffaney,A Mehrotra,WR Knights,JJ Crowe,New Zealand,65,0
1237122,South Africa,England,male,2020/21,44162,England tour of South Africa,1,Newlands,Cape Town,England,field,JM Bairstow,A Paleker,AT Holdstock,S George,BP Jele,AJ Pycroft,England,0,5
1237123,South Africa,England,male,2020/21,44164,England tour of South Africa,2,Boland Park,Paarl,England,field,DJ Malan,AT Holdstock,S George,BP Jele,A Paleker,AJ Pycroft,England,0,4
1237124,South Africa,England,male,2020/21,44166,England tour of South Africa,3,Newlands,Cape Town,South Africa,bat,DJ Malan,A Paleker,BP Jele,S George,AT Holdstock,AJ Pycroft,England,0,9
1239540,Pakistan,England,male,2021,44393,Pakistan tour of England,1,"Trent Bridge, Nottingham",Nottingham,England,field,Shaheen Shah Afridi,DJ Millns,MJ Saggers,SJ O'Shaughnessy,AG Wharf,Wayne Noon,Pakistan,31,0
1239540,Pakistan,England,male,2021,,Pakistan tour of England,1,"Trent Bridge, Nottingham",Nottingham,England,field,Shaheen Shah Afridi,DJ Millns,MJ Saggers,SJ O'Shaughnessy,AG Wharf,Wayne Noon,Pakistan,31,0
1239541,England,Pakistan,male,2021,44395,Pakistan tour of England,2,"Headingley, Leeds",Leeds,Pakistan,field,MM Ali,AG Wharf,MJ Saggers,SJ O'Shaughnessy,DJ Millns,Wayne Noon,England,45,0
1239541,Pakistan,England,male,2021,,Pakistan tour of England,2,"Headingley, Leeds",Leeds,Pakistan,field,MM Ali,AG Wharf,MJ Saggers,SJ O'Shaughnessy,DJ Millns,Wayne Noon,England,45,0
1239542,Pakistan,England,male,2021,44397,Pakistan tour of England,3,"Old Trafford, Manchester",Manchester,Pakistan,bat,JJ Roy,AG Wharf,DJ Millns,SJ O'Shaughnessy,MJ Saggers,Wayne Noon,England,0,3
1239542,Pakistan,England,male,2021,,Pakistan tour of England,3,"Old Trafford, Manchester",Manchester,Pakistan,bat,JJ Roy,AG Wharf,DJ Millns,SJ O'Shaughnessy,MJ Saggers,Wayne Noon,England,0,3
1243019,Pakistan,South Africa,male,2020/21,44238,South Africa tour of Pakistan,1,Gaddafi Stadium,Lahore,South Africa,field,Mohammad Rizwan,Ahsan Raza,Aleem Dar,Asif Yaqoob,Shozab Raza,Muhammad Javed,Pakistan,3,0
1243020,Pakistan,South Africa,male,2020/21,44240,South Africa tour of Pakistan,2,Gaddafi Stadium,Lahore,South Africa,field,D Pretorius,Asif Yaqoob,Shozab Raza,Rashid Riaz,Ahsan Raza,Muhammad Javed,South Africa,0,6
1243021,South Africa,Pakistan,male,2020/21,44241,South Africa tour of Pakistan,3,Gaddafi Stadium,Lahore,Pakistan,field,Mohammad Nawaz (3),Aleem Dar,Rashid Riaz,Shozab Raza,Ahsan Raza,Muhammad Javed,Pakistan,0,4
